qc_id,name,nuts0,icon_url
"0",Landau in der Pfalz,DEU,./0.png
"1",Baden-Baden,DEU,./0.png
"2",Karlsruhe,DEU,./0.png
"3",Freiburg im Breisgau,DEU,./0.png
"4",Colmar,FRA,./0.png
"5",Sélestat,FRA,./0.png
"6",Strasbourg,FRA,./0.png
"7",Haguenau / Bischwiller,FRA,./0.png
"8",Offenburg,DEU,./0.png
"9",Mulhouse,FRA,./0.png
"10",Guebwiller,FRA,./0.png
"11",Emmendingen,DEU,./0.png
"12",Solothurn,CHE,./0.png
"13",Basel,CHE,./0.png
"14",Liestal,CHE,./0.png
"15",Aarau,CHE,./0.png
"16",Delémont,CHE,./0.png
"17",Lörrach / Weil a. Rh.,DEU,./0.png
"18",Wissembourg,FRA,./0.png
"19",Dahn,DEU,./0.png
"20",Thann,FRA,./0.png
"21",Ribeauvillé,FRA,./0.png
"22",Molsheim,FRA,./0.png
